id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,circulating_supply,last_updated,fetch_time
jupiter-exchange-solana,jup,Jupiter,0.202259,671677909,86,43467718.0,8.8588,3320312968.08,2026-06-20 18:57:26.668000+00:00,2026-06-21 00:27:53.925282
just,jst,JUST,0.084007,717096518,83,23599244.0,4.74705,8543764567.312736,2026-06-20 18:57:22.296000+00:00,2026-06-21 00:27:53.925282
midnight-3,night,Midnight,0.03201764,531950105,98,10769385.0,4.72335,16607399400.63495,2026-06-20 18:57:30.707000+00:00,2026-06-21 00:27:53.925282
solana,sol,Solana,71.67,41603941320,7,1941261344.0,4.00981,580290935.945467,2026-06-20 18:57:33.832000+00:00,2026-06-21 00:27:53.925282
avalanche-2,avax,Avalanche,6.09,2629677302,38,435357170.0,3.85408,431771961.1772119,2026-06-20 18:57:25.401000+00:00,2026-06-21 00:27:53.925282
zcash,zec,Zcash,467.73,7852652092,15,301513683.0,3.11161,16777490.7905448,2026-06-20 18:57:27.637000+00:00,2026-06-21 00:27:53.925282
aster-2,aster,Aster,0.643586,1723872325,48,96695728.0,2.98743,2677260279.249776,2026-06-20 18:57:30.228000+00:00,2026-06-21 00:27:53.925282
the-open-network,gram,Gram (prev. Toncoin),1.62,4349594760,24,39136445.0,2.42606,2691827679.321227,2026-06-20 18:57:24.566000+00:00,2026-06-21 00:27:53.925282
audiera,beat,Audiera,1.86,535186861,97,27569862.0,2.34465,288016666.0,2026-06-20 18:57:30.445000+00:00,2026-06-21 00:27:53.925282
figure-heloc,figr_heloc,Figure Heloc,1.034,19679929568,9,59616904.0,2.20817,19032813895.918,2026-06-20 13:06:27.774000+00:00,2026-06-21 00:27:53.925282
