id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,circulating_supply,last_updated,fetch_time
dexe,dexe,DeXe,15.65,731876649,82,10563573.0,-6.42788,46750552.58384035,2026-06-20 18:57:22.568000+00:00,2026-06-21 00:27:53.925282
ondo-finance,ondo,Ondo,0.33742,1644066463,49,85898476.0,-4.27798,4869330647.0,2026-06-20 18:57:25.288000+00:00,2026-06-21 00:27:53.925282
stellar,xlm,Stellar,0.211981,7179422841,16,253209634.0,-4.08217,33805970774.21254,2026-06-20 18:57:33.117000+00:00,2026-06-21 00:27:53.925282
morpho,morpho,Morpho,1.83,1182928724,61,8591779.0,-3.59221,646836556.8164958,2026-06-20 18:57:25.721000+00:00,2026-06-21 00:27:53.925282
ethereum-classic,etc,Ethereum Classic,7.44,1164111946,63,65857311.0,-3.19379,156559601.6228963,2026-06-20 18:57:33.964000+00:00,2026-06-21 00:27:53.925282
memecore,m,MemeCore,2.82,3706500128,28,4112517.0,-2.67994,1315013129.122164,2026-06-20 18:57:28.765000+00:00,2026-06-21 00:27:53.925282
worldcoin-wld,wld,Worldcoin,0.601945,2054834631,43,340290822.0,-2.65245,3413153292.508244,2026-06-20 18:57:25.986000+00:00,2026-06-21 00:27:53.925282
bianrensheng,币安人生,币安人生 (BinanceLife),0.701592,699808879,85,8926424.0,-2.31882,1000000000.0,2026-06-20 18:57:30.268000+00:00,2026-06-21 00:27:53.925282
stable-2,stable,​​Stable,0.03278097,779133438,80,12767576.0,-2.14116,23770987311.0,2026-06-20 18:57:30.249000+00:00,2026-06-21 00:27:53.925282
algorand,algo,Algorand,0.092892,830511997,76,24535177.0,-2.07573,8926576144.043465,2026-06-20 18:57:27.617000+00:00,2026-06-21 00:27:53.925282
