id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,circulating_supply,last_updated,fetch_time
tether,usdt,Tether,0.998881,186231052155,3,31402885447.0,-0.01707,186436673000.0243,2026-06-20 18:57:34.546000+00:00,2026-06-21 00:27:53.925282
bitcoin,btc,Bitcoin,63722.0,1277799131497,1,18993051438.0,1.07725,20045556.0,2026-06-20 18:57:34.105000+00:00,2026-06-21 00:27:53.925282
usd-coin,usdc,USDC,0.999806,74848045358,5,6490675194.0,0.00274,74853856196.3003,2026-06-20 18:57:34.535000+00:00,2026-06-21 00:27:53.925282
ethereum,eth,Ethereum,1724.96,208236403613,2,6470944006.0,1.4162,120683936.2218121,2026-06-20 18:57:34.130000+00:00,2026-06-21 00:27:53.925282
solana,sol,Solana,71.67,41603941320,7,1941261344.0,4.00981,580290935.945467,2026-06-20 18:57:33.832000+00:00,2026-06-21 00:27:53.925282
ripple,xrp,XRP,1.14,70874772020,6,1032427152.0,1.00245,62053900985.0,2026-06-20 18:57:33.853000+00:00,2026-06-21 00:27:53.925282
usd1-wlfi,usd1,USD1,1.0,4786774450,22,753146270.0,0.02325,4784829812.987733,2026-06-20 18:57:29.444000+00:00,2026-06-21 00:27:53.925282
tron,trx,TRON,0.324951,30816331886,8,646360008.0,0.84712,94834433713.95186,2026-06-20 18:57:22.348000+00:00,2026-06-21 00:27:53.925282
hyperliquid,hype,Hyperliquid,69.63,15496118584,10,576747486.0,-1.36745,222445714.0741414,2026-06-20 18:57:27.918000+00:00,2026-06-21 00:27:53.925282
binancecoin,bnb,BNB,584.96,78848093025,4,574929262.0,1.10052,134783418.41,2026-06-20 18:57:31.385000+00:00,2026-06-21 00:27:53.925282
